id,place_id,name,filter_id
1757,957,민속극장풍류,2
1758,957,민속극장풍류,6
1759,958,은평문화예술회관,2
1760,958,은평문화예술회관,6
1761,959,도봉도서관,4
1762,959,도봉도서관,3
1763,960,강북구청,4
1764,961,구로구청,4
1765,962,노들섬 복합문화공간,6
1766,963,문래도서관,4
1767,963,문래도서관,3
1768,964,양천구 해누리타운 아트홀,2
1769,964,양천구 해누리타운 아트홀,6
1770,965,한국방송회관 코바코홀,2
1771,965,한국방송회관 코바코홀,6
1772,966,리움미술관,3
1773,966,리움미술관,6
1774,966,리움미술관,4
1775,967,반포심산아트홀,2
1776,967,반포심산아트홀,6
1777,968,한미사진미술관,3
1778,968,한미사진미술관,6
1779,968,한미사진미술관,4
1780,969,갈산문화예술센터,6
1781,970,한성대학교,4
1782,971,동대문구민체육센터,1
1783,971,동대문구민체육센터,4
1784,972,송파구체육문화회관,1
1785,972,송파구체육문화회관,6
1786,973,정동극장,2
1787,973,정동극장,6
1788,974,종로구민회관,4
1789,975,용산구문화체육센터,1
1790,975,용산구문화체육센터,6
1791,976,구립증산정보도서관,4
1792,976,구립증산정보도서관,3
1793,977,양천구청,4
1794,978,신월문화체육센터,1
1795,978,신월문화체육센터,6
1796,979,한성백제박물관,3
1797,979,한성백제박물관,6
1798,979,한성백제박물관,4
1799,980,한국분재박물관,3
1800,980,한국분재박물관,6
1801,980,한국분재박물관,4
1802,981,롯데월드 가든스테이지,2
1803,981,롯데월드 가든스테이지,6
1804,982,강북솔샘문화정보센터,6
1805,983,예술가의집,2
1806,983,예술가의집,6
1807,984,가람화랑,3
1808,984,가람화랑,6
1809,985,예지원,3
1810,985,예지원,4
1811,985,예지원,5
1812,986,송중문화정보센터,6
1813,987,롯데월드 아이스링크,1
1814,987,롯데월드 아이스링크,2
1815,988,온조대왕문화체육관,1
1816,988,온조대왕문화체육관,6
1817,989,서울연극센터,2
1818,989,서울연극센터,6
1819,990,성동구립도서관,4
1820,990,성동구립도서관,3
1821,991,서울특별시교육청 종로도서관,4
1822,991,서울특별시교육청 종로도서관,3
1823,992,올림픽기념국민생활관,1
1824,992,올림픽기념국민생활관,4
1825,993,마포아트센터,6
1826,994,국립현대미술관,3
1827,994,국립현대미술관,6
1828,994,국립현대미술관,4
1829,995,아르코미술관,3
1830,995,아르코미술관,6
1831,995,아르코미술관,4
1832,996,국립현대미술관 서울,3
1833,996,국립현대미술관 서울,6
1834,996,국립현대미술관 서울,4
1835,997,종로문화원,6
1836,997,종로문화원,4
1837,998,육군사관학교,4
1838,999,자양4동도서관,4
1839,999,자양4동도서관,3
1840,1000,동대문구청,4
1841,1001,서울문화재단,6
1842,1002,LG아트센터 서울,2
1843,1002,LG아트센터 서울,6
1844,1003,광진정보도서관,4
1845,1003,광진정보도서관,3
1846,1004,포스트극장,2
1847,1004,포스트극장,6
1848,1005,서울시립 남서울미술관,3
1849,1005,서울시립 남서울미술관,6
1850,1005,서울시립 남서울미술관,4
1851,1006,광화문아트홀,2
1852,1006,광화문아트홀,6
1853,1007,문화정원아트홀,2
1854,1007,문화정원아트홀,6
1855,1007,문화정원아트홀,1
1856,1007,문화정원아트홀,3
1857,1008,시민청,6
1858,1009,성수아트홀,2
1859,1009,성수아트홀,6
1860,1010,동작구청,4
1861,1011,강남문화재단,6
1862,1012,서울풍물시장 전통문화체험관,5
1863,1012,서울풍물시장 전통문화체험관,6
1864,1012,서울풍물시장 전통문화체험관,4
1865,1013,한국사회과학도서관,4
1866,1013,한국사회과학도서관,3
1867,1014,우리금융아트홀,2
1868,1014,우리금융아트홀,6
1869,1015,동작도서관,4
1870,1015,동작도서관,3
1871,1016,서대문도서관,4
1872,1016,서대문도서관,3
1873,1017,강남스포츠문화센터,6
1874,1018,대진체육관,1
1875,1019,영등포문화원,6
1876,1019,영등포문화원,4
1877,1020,사당문화회관,2
1878,1020,사당문화회관,6
1879,1021,건국대학교 박물관,3
1880,1021,건국대학교 박물관,4
1881,1022,서초구민체육센터,1
1882,1022,서초구민체육센터,4
1883,1023,송파구청,4
1884,1024,거마도서관,4
1885,1024,거마도서관,3
1886,1025,서초문화예술회관 (구 서초구민회관),2
1887,1025,서초문화예술회관 (구 서초구민회관),6
1888,1025,서초문화예술회관 (구 서초구민회관),4
1889,1026,연세대학교 김대중도서관,4
1890,1026,연세대학교 김대중도서관,3
1891,1027,서울특별시교육청 남산도서관,4
1892,1027,서울특별시교육청 남산도서관,3
1893,1028,최순우 옛집,3
1894,1028,최순우 옛집,6
1895,1029,서서울예술교육센터,4
1896,1030,스카이아트홀,2
1897,1030,스카이아트홀,6
1898,1031,국립국어원 우리말 꿈터,4
1899,1032,학고재,3
1900,1032,학고재,6
1901,1033,남산골한옥마을,5
1902,1034,코엑스 오디토리움,2
1903,1034,코엑스 오디토리움,6
1904,1035,국립고궁박물관,3
1905,1035,국립고궁박물관,6
1906,1035,국립고궁박물관,4
1907,1036,구로구민체육센터,1
1908,1036,구로구민체육센터,4
1909,1037,떡박물관,3
1910,1037,떡박물관,6
1911,1037,떡박물관,4
1912,1038,강남구민체육관,1
1913,1038,강남구민체육관,4
1914,1039,허준박물관,3
1915,1039,허준박물관,6
1916,1039,허준박물관,4
1917,1040,서울강서문화원,6
1918,1040,서울강서문화원,4
1919,1041,아리향기작은도서관,4
1920,1041,아리향기작은도서관,3
1921,1042,구로아트밸리예술극장,2
1922,1042,구로아트밸리예술극장,6
1923,1043,금천구청,4
1924,1044,세실아트홀,2
1925,1044,세실아트홀,6
1926,1045,도봉기적의도서관,4
1927,1045,도봉기적의도서관,3
1928,1046,해공체육문화센터,1
1929,1046,해공체육문화센터,6
1930,1047,은평구립도서관,4
1931,1047,은평구립도서관,3
1932,1048,노화랑,3
1933,1048,노화랑,6
1934,1049,관악구민종합체육센터,1
1935,1049,관악구민종합체육센터,4
1936,1050,강남구청,4
1937,1051,개포도서관,4
1938,1051,개포도서관,3
1939,1052,은평역사한옥박물관,3
1940,1052,은평역사한옥박물관,6
1941,1052,은평역사한옥박물관,5
1942,1052,은평역사한옥박물관,4
1943,1053,금빛휘트니스센터,1
1944,1053,금빛휘트니스센터,2
